host_id,property_count,property_ids,is_superhost,host_rating,host_response_rate,hosts_year,host_number_of_reviews,total_reviews,positive_reviews,negative_reviews,avg_sentiment,avg_rating_cleanliness,avg_rating_communication,avg_rating_checkin,avg_rating_location,avg_rating_value,avg_price,avg_prediction,avg_price_delta,avg_lat,avg_long,avg_walk_score,avg_amenities_count,main_property_type,combined_advantages,combined_disadvantages,combined_suggestions,quality_score
209667,1,37082049,0,4.7,63,14,50,14,14,0,0.998,4.8,4.9,4.9,5.0,4.8,408.0,624.4794614911502,216.47946149115023,48.85626,2.37976,74.1,23.0,entire_place,Quiet Area (5x); Highly Recommend (4x); Spacious (3x); Well Equipped (2x); Responsive Host (2x),No issues identified,No issues identified - keep up the great work!,0.998
789620,1,36617355,0,4.55,80,14,1539,24,23,1,0.902,4.6,4.8,4.7,4.9,4.7,338.34,155.4845599007428,-182.85544009925718,48.8601,2.3162,1.6,11.0,entire_place,Spacious (6x); Well Equipped (5x); Will Return (5x); Great Location (5x); Quiet Area (3x),Too Hot (1x),"[Too Hot]: Opening doors and windows or using fans doesn’t stop carbon monoxide building up indoors. Although carbon monoxide can't be seen or smelled, it can rapidly lead to full incapacitation and death. If you start to feel sick, dizzy, or weak, get to fresh air right away—don’t delay.",0.902
1475566,1,1181077268842401519,1,4.87,100,6,637,24,23,1,0.916,4.9,4.9,5.0,4.9,4.7,296.24,414.3765361049848,118.13653610498477,48.8755,2.3495,83.1,41.0,entire_place,Very Clean (5x); Great Location (4x); Highly Recommend (4x); Beautiful Place (3x); Walkable (3x),Too Small (1x); Dirty Bathroom (1x); Safety Concerns (1x); Noise General (1x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews. || [Dirty Bathroom]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water || [Safety Concerns]: Location: Was the guest made aware of safety, transportation, points of interest, and special considerations like noise or other situations that might affect them?",0.916
1730434,1,21848432,1,4.89,100,8,45,24,23,1,0.916,5.0,4.8,4.9,4.9,4.7,239.68,322.2785068364627,82.59850683646272,48.8715,2.3707,75.6,23.0,entire_place,Responsive Host (4x); Very Clean (4x); Will Return (3x); Spacious (3x); Highly Recommend (3x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.916
1744480,1,343862,0,4.84,100,13,92,23,22,1,0.912,4.9,4.9,4.9,4.9,4.7,287.06,304.0194361046706,16.9594361046706,48.85997,2.3439,99.4,39.0,entire_place,Walkable (5x); Great Location (5x); Central (4x); Will Return (4x); Spacious (4x),Too Small (1x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",0.912
2160612,1,1102648563589931603,1,4.96,100,1,23,23,23,0,1.0,4.9,5.0,5.0,4.9,4.9,144.67,224.11405905919884,79.44405905919885,48.87051845146939,2.350318802855654,88.8,31.0,entire_place,Will Return (5x); Very Comfortable (5x); Highly Recommend (4x); Well Equipped (3x); Walkable (3x),No issues identified,No issues identified - keep up the great work!,1.0
2514640,1,510375,0,4.77,100,13,104,18,17,1,0.888,4.7,5.0,4.9,5.0,4.8,258.35,617.4545549673466,359.10455496734653,48.84102,2.3297,79.6,25.0,entire_place,Great Location (6x); Spacious (4x); Highly Recommend (3x); Will Return (2x); Responsive Host (1x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,0.888
2777659,1,1532201,1,4.96,90,12,272,24,24,0,0.999,5.0,5.0,5.0,5.0,4.9,509.0,482.6591757278971,-26.340824272102907,48.8527,2.3761,74.8,58.0,entire_place,Walkable (7x); Will Return (6x); Quiet Area (5x); Well Equipped (4x); Beautiful Place (4x),Plumbing Issues (1x),"[Plumbing Issues]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water",0.999
3309080,1,878966607307161685,0,4.61,50,12,18,9,9,0,0.962,4.3,4.8,4.8,5.0,4.6,302.16,333.9187351841541,31.75873518415409,48.86375889388788,2.352226638659213,75.2,35.0,entire_place,Great Location (3x); Spacious (2x); Responsive Host (2x); Great Host (2x); Highly Recommend (2x),Noise Street (1x),[Noise Street]: Location. How did the guest feel about the area and neighborhood?,0.962
3879238,1,9649701,1,4.96,100,2,55,24,22,2,0.846,5.0,5.0,5.0,5.0,4.8,403.03,662.8863192383607,259.8563192383607,48.8539,2.3504,65.2,59.0,entire_place,Will Return (6x); Highly Recommend (5x); Very Comfortable (4x); Very Clean (4x); Great Location (4x),Too Small (2x); Noise General (1x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews. || [Noise General]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy.",0.846
