property_id,host_id,city,state,country,lat,long,listing_name,property_type,guests,bedrooms,beds,bathrooms,has_ac,has_wifi,has_pool,has_kitchen,has_parking,amenities_count,price,prediction,price_delta,is_superhost,host_rating,host_response_rate,host_number_of_reviews,hosts_year,review_total,review_positive,review_negative,review_sentiment,rating_cleanliness,rating_communication,rating_checkin,rating_location,rating_value,review_advantages,review_disadvantages,review_suggestions,walk_score,poi_total,tourism_density
844902266320666166,18381934,Paris,Ile-de-France,France,48.8775,2.3534,Entire Place in Paris,entire_place,2,1,1,1.0,1,1,0,1,1,40,137.79,474.0328372678018,336.24283726780186,0,4.92,100,13,2,13,12,1,0.855,4.9,5.0,5.0,4.9,4.8,Highly Recommend (4x); Responsive Host (3x); Will Return (2x); Walkable (2x); Great Host (1x),No issues identified,Note: 1 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,75.1,77.20967741935483,4.248495242049359
908599895151427699,484292568,Paris,Ile-de-France,France,48.86385,2.36557,Entire Place in Paris,entire_place,2,1,1,1.0,0,1,0,1,1,47,273.02,350.37527811292034,77.35527811292036,0,4.56,100,25,3,26,26,0,1.0,4.6,4.8,4.8,5.0,4.8,Will Return (8x); Responsive Host (6x); Well Equipped (6x); Spacious (6x); Very Comfortable (4x),Dirty General (2x); Safety Concerns (2x),"[Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Safety Concerns]: Location: Was the guest made aware of safety, transportation, points of interest, and special considerations like noise or other situations that might affect them?",75.6,77.20967741935483,4.382026634673881
1343431046369374897,464015699,Paris,Ile-de-France,France,48.8607,2.3788,Entire Place in Paris,entire_place,2,1,1,1.0,0,1,0,1,0,35,114.0,428.8706625312473,314.8706625312473,0,4.33,99,5105,3,1,1,0,0.998,,,,,,Will Return (1x),No issues identified,No issues identified - keep up the great work!,74.4,77.20967741935483,3.58351893845611
1141235520673622434,47524898,Paris,Ile-de-France,France,48.85505,2.38333,Entire Place in Paris,entire_place,2,1,1,1.0,0,1,0,1,0,30,95.31,366.71493543710983,271.4049354371098,1,4.79,100,80,8,24,21,3,0.78,4.9,5.0,4.8,5.0,4.8,Highly Recommend (9x); Great Location (5x); Very Comfortable (5x); Responsive Host (3x); Quiet Area (3x),Plumbing Issues (1x),"[Plumbing Issues]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water",75.6,77.20967741935483,3.970291913552122
639885081245760540,33375651,Paris,Ile-de-France,France,48.8618,2.3413,Entire Place in Paris,entire_place,4,1,1,1.0,0,1,0,1,1,34,248.59,526.6422138338913,278.0522138338913,1,4.71,100,107,10,24,23,1,0.911,4.7,4.9,4.8,4.9,4.6,Responsive Host (5x); Great Location (4x); Walkable (4x); Well Equipped (3x); Perfect Stay (3x),Noise Street (1x); Dirty General (1x),"[Noise Street]: Location. How did the guest feel about the area and neighborhood? || [Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California.",75.5,77.20967741935483,4.6913478822291435
1267922515377677449,199498945,Paris,Ile-de-France,France,48.8551,2.3686,Entire Place in Paris,entire_place,2,1,1,1.0,0,1,0,1,1,41,205.0,511.6430768464318,306.6430768464318,0,5.0,100,1,3,1,1,0,0.998,,,,,,Great Location (1x); Great Host (1x),No issues identified,No issues identified - keep up the great work!,74.9,77.20967741935483,4.219507705176107
1181077268842401519,1475566,Paris,Ile-de-France,France,48.8755,2.3495,Entire Place in Paris,entire_place,6,2,2,1.0,0,1,1,1,1,41,296.24,414.3765361049848,118.13653610498477,1,4.87,100,637,6,24,23,1,0.916,4.9,4.9,5.0,4.9,4.7,Very Clean (5x); Great Location (4x); Highly Recommend (4x); Beautiful Place (3x); Walkable (3x),Too Small (1x); Dirty Bathroom (1x); Safety Concerns (1x); Noise General (1x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews. || [Dirty Bathroom]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water || [Safety Concerns]: Location: Was the guest made aware of safety, transportation, points of interest, and special considerations like noise or other situations that might affect them?",83.1,115.0,4.532599493153256
6838781,35837917,Paris,Ile-de-France,France,48.8727,2.34717,Unique Stay in Paris,unique_stay,2,1,1,1.0,0,1,0,1,1,22,121.75,147.74851659855028,25.99851659855028,0,4.74,100,137,10,48,44,4,0.845,4.6,4.9,4.9,4.9,4.7,Very Comfortable (6x); Responsive Host (6x); Highly Recommend (5x); Great Communication (4x); Great Location (3x),Too Small (6x); Dirty General (2x),"[Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews. || [Dirty General]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California.",83.0,115.0,4.672828834461906
577361166440708789,4978371,Paris,Ile-de-France,France,48.8652,2.3503,Entire Place in Paris,entire_place,5,2,2,2.0,0,1,0,1,1,52,404.0,520.8982847907171,116.89828479071707,0,4.93,100,15,3,30,28,2,0.87,4.9,5.0,4.9,4.9,4.8,Responsive Host (8x); Great Location (8x); Beautiful Place (6x); Highly Recommend (6x); Great Host (4x),No issues identified,Note: 2 negative review(s) detected but no specific issues were identified by our analysis. We recommend manually reviewing the feedback for insights.,96.9,180.0,5.937536205082426
1102923011454388735,560892322,Paris,Ile-de-France,France,48.85351,2.35531,Entire Place in Paris,entire_place,3,2,2,2.0,0,1,0,1,1,32,761.0,214.15155452294673,-546.8484454770532,1,4.9,100,20,1,20,20,0,0.999,5.0,4.8,4.9,5.0,4.7,Will Return (5x); Great Location (4x); Highly Recommend (3x); Beautiful Place (3x); Very Comfortable (3x),Too Hot (1x); Too Small (1x),"[Too Hot]: Opening doors and windows or using fans doesn’t stop carbon monoxide building up indoors. Although carbon monoxide can't be seen or smelled, it can rapidly lead to full incapacitation and death. If you start to feel sick, dizzy, or weak, get to fresh air right away—don’t delay. || [Too Small]: Be sure to showcase the changes you’ve made by updating your amenities, listing description, and photos. Adding just a few sought-after items can go a long way toward making guests feel more comfortable in your space—and could lead to great reviews.",74.9,77.20967741935483,3.9318256327243257
